 ,Area,Mean,Min,Max,X,Y,Angle,Length
1,0.202,101.954,82.297,116.000,115.349,83.478,-4.699,3.824
2,0.136,114.513,101.286,168.667,115.454,83.660,-88.831,2.559
3,0.199,110.428,81.960,193.000,108.302,101.384,69.814,3.782
4,0.134,111.026,94.029,166.667,108.432,101.410,-18.060,2.526
5,0.210,94.757,68.726,157.563,123.102,94.389,-66.801,3.976
6,0.136,98.318,77.930,138.333,123.285,94.415,22.891,2.550
7,0.180,121.213,93.026,147.333,133.099,83.634,5.274,3.408
8,0.128,129.666,112.604,170.877,133.099,83.817,-81.158,2.378
