ID,Ratio,Line,Nb_rep,Coc_height,Coc_width
517,G,5,3,3.589,2.34
518,G,5,3,3.629,2.26
519,G,5,3,3.422,2.371
520,G,5,3,3.087,2.253
521,G,6,2,3.522,2.48
522,G,6,2,3.432,2.413
523,G,6,2,3.854,2.321
524,G,6,2,3.772,2.146
525,G,6,2,3.296,2.26
526,G,6,2,3.239,2.384
527,G,6,3,2.974,2.47
528,G,7,2,3.307,2.536
529,H,1,1,4.095,2.765
530,H,1,1,3.801,2.879
531,H,1,1,3.611,2.867
532,H,1,1,3.583,2.542
533,H,1,1,3.537,2.657
534,H,1,1,3.759,3.05
535,H,1,1,3.524,2.785
536,H,1,3,3.5,2.67
537,H,1,3,3.116,2.59
538,H,1,3,3.644,2.855
539,H,1,3,3.353,2.562
540,H,1,3,3.871,2.683
541,H,1,3,2.929,2.295
542,H,1,3,2.993,2.568
543,H,1,3,3.177,2.423
544,H,1,3,3.394,2.653
545,H,1,3,3.53,2.494
546,H,1,3,3.739,2.686
547,H,1,3,3.321,2.347
548,H,1,3,3.284,2.441
549,H,1,3,3.451,2.551
550,H,2,1,2.988,2.583
551,H,2,1,3.653,2.715
552,H,2,1,3.669,2.715
553,H,2,1,3.572,2.594
554,H,2,1,3.341,2.506
555,H,2,1,3.716,2.623
556,H,2,1,3.321,2.587
557,H,2,1,3.47,2.529
558,H,2,1,3.347,2.676
559,H,2,1,3.269,2.438
560,H,2,1,3.595,2.565
561,H,2,1,3.51,2.762
562,H,2,1,3.534,2.69
563,H,2,1,3.563,2.939
564,H,2,1,3.51,2.762
565,H,2,1,3.595,2.818
566,H,2,1,3.377,2.733
567,H,2,2,3.418,2.502
568,H,2,2,3.109,2.508
569,H,2,2,3.28,2.507
570,H,2,2,3.27,2.582
571,H,2,2,3.28,2.377
572,H,2,2,3.634,2.642
573,H,2,2,3.254,2.255
574,H,2,2,3.461,2.548
575,H,2,2,3.273,2.616
576,H,2,2,3.4,2.543
577,H,2,2,3.313,2.397
578,H,2,2,3.539,2.396
579,H,2,2,3.305,2.574
580,H,2,2,3.532,2.71
581,H,2,3,3.183,2.319
582,H,2,3,3.293,2.783
583,H,2,3,3.562,2.565
584,H,2,3,3.144,2.441
585,H,2,3,3.356,2.579
586,H,2,3,2.845,2.253
587,H,2,3,3.71,2.434
588,H,2,3,3.228,2.463
589,H,2,3,3.293,2.337
590,H,2,3,3.12,2.65
591,H,2,3,3.303,2.789
592,H,2,3,2.912,2.676
593,H,2,3,3.562,2.411
594,H,3,1,3.641,2.763
595,H,3,1,4.191,2.61
596,H,3,1,3.882,2.094
597,H,3,1,3.037,2.514
598,H,3,1,4.385,2.694
599,H,3,1,3.674,2.539
600,H,3,1,3.663,2.421
601,H,3,1,4.129,2.606
602,H,3,1,3.423,2.455
603,H,3,1,3.842,2.688
604,H,3,2,3.62,2.878
605,H,3,3,3.978,2.757
606,H,3,3,3.25,2.552
